heading,merged_description,curated_description,mapped_to
701100000,PAPAS(PATATAS) FRESCAS O REFRIGERADOS PARA SIEMBRA. Para siembra. Para siembra.,"Papas (patatas) para siembra, frescos o refrigerados",
701900000,PAPAS(PATATAS) FRESCAS O REFRIGERADAS (EXC. PARA SIEMBRA). Las demas. Las demás.,"Papas (patatas) excepto para siembra, frescos o refrigerados",
702000000,TOMATES FRESCOS O REFRIGERADOS. Tomates frescos o refrigerados. Tomates frescos o refrigerados.,Tomates frescos o refrigerados,
703100000,Cebollas y chalotes. CEBOLLAS Y CHALOTES. Cebollas y chalotes.,Cebollas y chalotes frescos o refrigerados,
703201000,Para siembra.,Ajos para siembra frescos o refrigerados,
703209000,Los demás.,Ajos excepto para siembra frescos o refrigerados,
703900000,Puerros y demás hortalizas aliáceas. PUERROS Y DEMAS HORTALIZAS ALIACEAS. Puerros y demas hortalizas aliaceas. Puerros y demás hortalizas aliáceas (incluso «silvestres»).,"Puerros y demás hortalizas aliáceas, incluso silvestres frescos o refrigerados",
704100000,"Coliflores y brécoles («broccoli»). Coliflores y brócolis. Coliflores y brecoles (""broccoli""). COLIFLORES Y BRECOLES (""BROCCOLI"").",Coliflores y brócolis frescos o refrigerados,
704200000,COLES DE BRUSELAS. Coles (repollitos) de Bruselas. Coles (repollitos) de Bruselas.,Coles (repollitos) de Bruselas frescos o refrigerados,
704900000,"DEMAS COLES,COLIFLORES,COLES RIZADAS,COLINABOS FRESCOS. Los demas. Los demás.","Coles (excepto de Bruselas), colinabos y productos comestibles similares del género Brassica frescos o refrigerados",
705110000,Repolladas. LECHUGAS REPOLLADAS. Repolladas.,Lechugas repolladas frescas o refrigeradas,
705190000,Las demás. DEMAS LECHUGAS (EXC. LAS REPOLLADAS). Las demas.,"Lechugas excepto repolladas, frescas o refrigeradas",
706100000,ZANAHORIAS Y NABOS. Zanahorias y nabos. Zanahorias y nabos.,Zanahorias y nabos frescos o refrigerados,
706900000,"REMOLACHAS PARA ENSALADA, SALSIFIES,APIONADOS,RABANOS. Los demas. Los demás.","Remolachas para ensalada, salsifies, apionabos y rábanos frescos o refrigerados",
707000000,"Pepinos y pepinillos, frescos o refrigerados. Pepinos y pepinillos, frescos o refrigerados. PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS.",Pepinos y pepinillos frescos o refrigerados,
708100000,"Arvejas (guisantes, chicharos) (Pisum sativum). Arvejas (guisantes, chícharos) (Pisum sativum). ARVEJAS O GUISANTES FRESCAS O REFRIGERADAS.","Arvejas (guisantes, chicharos) frescos o refrigerados",
708200000,"FRIJOLES (FREJOLES, POROTOS, ALUBIAS),FRESCAS O REFRIGERADAS. Frijoles (frejoles, porotos, alubias, judias) (Vigna spp., Phaseolus spp.). Frijoles (fréjoles, porotos, alubias, judías) (Vigna spp, Phaseolus spp).","Frijoles (frejoles, porotos, alubias, judías) frescos o refrigerados",
708900000,DEMAS LEGUMBRES (EXC. ARVERJAS Y FRIJOLES) FRESCAS O REFRIG. Las demas. Las demás.,Hortalizas de vaina (legumbres) excepto arberjas y frijoles frescos o refrigerados,
709200000,ESPARRAGOS FRESCOS O REFRIGERADOS. Esparragos. Espárragos.,Espárragos frescos o refrigerados,
709300000,Berenjenas. Berenjenas. BERENJENAS FRESCAS O REFRIGERADAS.,Berenjenas frescos o refrigerados,
709400000,"APIO, EXCEPTO EL APIONABO FRESCOS O REFRIGERADOS. Apio, excepto el apionabo. Apio, excepto el apionabo.",Apio excepto apionabo frescos o refrigerados,
709510000,SETAS FRESCAS O REFRIGERADAS. Setas y demas hongos. Hongos del género Agaricus.,Hongos del género Agaricus frescos o refrigerados,
709590000,Los demás. Los demás. Los demás.,Hongos excepto del género Agaricus frescos o refrigerados,
709600000,"Frutos de los géneros Capsicum o Pimenta. Frutos de los generos Capsicum o Pimenta. PIMIENTOS DE GENEROS""CAPSICUM""o""PIMENTA"" FRESCOS O REFRIG.",Frutos de los géneros Capsicum o Pimenta frescos o refrigerados,
709700000,ESPINACAS (INCLU. DE NUEVA ZELANDA) Y ARMUELLES FRESCOS. Espinacas (incluida la de Nueva Zelanda) y armuelles. Espinacas (incluida la de Nueva Zelanda) y armuelles.,Espinacas (incluida la de Nueva Zelanda) y armuelles frescos frescas o refrigeradas,
709910000,Alcachofas (alcauciles).,Alcachofas (alcauciles) frescas o refrigeradas,
709920000,Aceitunas.,Aceitunas frescas o refrigeradas,
709930000,Calabazas (zapallos) y calabacines (Cucurbita spp.).,Calabazas (zapallos) y calabacines (Cucurbita spp.) frescas o refrigeradas,
709991000,Maíz dulce (Zea mays var. saccharata).,Maíz dulce (Zea mays var. saccharata) frescos o refrigerados,
709999000,Las demás.,Otras hortalizas frescas o refrigeradas,
710100000,"PAPAS(PATATAS) INCLU. COCIDAS CON AGUA O VAPOR, CONGELADAS. Papas (patatas). Papas (patatas).","Papas (patatas) incluso cocidas, congeladas",
710210000,"ARVEJAS O GUISANTES(PISUM SATIVUM) INCLUSO DESVAINADAS. Arvejas (guisantes, chicharos) (Pisum sativum). Arvejas (guisantes, chícharos) (Pisum sativum).","Arvejas (guisantes, chícharos) incluso cocidas, congeladas",
710220000,"Frijoles (frejoles, porotos, alubias, judias) (Vigna spp., Phaseolus spp.). Frijoles (fréjoles, porotos, alubias, judías) (Vigna spp, Phaseolus spp). FRIJOLES(FREJOLES, POROTOS, ALUBIAS) INCLUSO DESVAINADOS.","Frijoles (frejoles, porotos, alubias, judias) incluso cocidos, congelados",
710290000,Las demas. Las demás. DEMAS LEGUMBRES INCLUSO DESVAINADAS.,"Hortalizas de vaina (legumbres) excepto arberjas y frijoles incluso cocidas, congelados",
710300000,ESPINACAS (INCLU. DE NUEVA ZELANDA) Y ARMUELLES. Espinacas (incluida la de Nueva Zelanda) y armuelles. Espinacas (incluida la de Nueva Zelanda) y armuelles.,"Espinacas (incluida la de Nueva Zelanda) y armuelles incluso cocidas, congelados",
710400000,MAIZ DULCE CONGELADO. Maiz dulce. Maíz dulce.,"Maiz dulce incluso cocidos, congelados",
710801000,Espárragos.,"Espárragos incluso cocidos, congelados",
710802000,Brócoli (Brassica oleracea italica).,"Brócolis incluso cocidos, congelados",
710809000,Las demás. Las demás.,"Otras hortalizas incluso cocidas, congeladas",
710900000,"Mezclas de hortalizas. Mezclas de hortalizas (incluso «silvestres»). Mezclas de hortalizas. MEZCLAS DE HORTALIZAS Y LEGUMBRES INCL.COCIDAS EN AGUA,CONG.","Mezclas de hortalizas incluso cocidas, congelados",
711200000,"ACEITUNAS CONSERVADAS PROVISIONALM.,IMPROPIAS P/ALIMENTAC. Aceitunas. Aceitunas.",Aceitunas conservadas provisionalmente para consumo inmediato,
711400000,PEPINOS Y PEPINILLOS CONSERVADAS PROVISIONALMENTE. Pepinos y pepinillos. Pepinos y pepinillos.,Pepinos y pepinillos conservados provisionalmente para consumo inmediato,
711510000,Hongos del género Agaricus.,Hongos del género Agaricus conservados provisionalmente para consumo inmediato,
711590000,Los demás.,Hongos excepto del género Agaricus conservados provisionalmente para consumo inmediato,
711900000,Las demás hortalizas; mezclas de hortalizas. Las demás hortalizas (incluso «silvestres»); mezclas de hortalizas (incluso «silvestres»). DEMAS LEGUMBRES Y HORTALIZAS; MEZCLAS DE ESTAS. Las demas hortalizas; mezclas de hortalizas.,Otras hortalizas y mezclas de hortalizas conservadas provisionalmente para consumo inmediato,
712200000,CEBOLLAS SECAS INCLUSO CORTADAS EN TROZOS O RODAJAS. Cebollas. Cebollas.,"Cebollas secas incluso cortadas en trozos, rodajas, trituradas o pulverizadas",
712310000,Hongos del género Agaricus.,"Hongos secos del género Agaricus cortados en trozos, rodajas, triturados o pulverizados",
712330000,Hongos gelatinosos (Tremella spp).,"Hongos secos gelatinosos cortados en trozos, rodajas, triturados o pulverizados",
712390000,Los demás. Los demás.,"Hongos secos excepto Agaricus y gelatinosos cortados en trozos, rodajas, triturados o pulverizados",
712901000,Ajos. Ajos. AJOS SECOS INCLUSO CORTADOS EN TROZOS O RODAJAS.,"Ajos secos cortados en trozos, rodajas, triturados o pulverizados",
712909000,DEMAS LEGUMBRES Y HORTALIZAS Y MEZCLAS DE ESTAS SECAS. Las demas. Las demás. Las demás.,"Otras hortalizas y mezclas de hortalizas cortadas en trozos, rodajas, trituradas o pulverizadas",
713101000,Para siembra. ARVEJAS O GUISANTES (PISUM SATIVUM): PARA SIEMBRA. Para siembra.,"Arvejas (guisantes, chicharos) para siembra",
713109010,"Enteras. Enteras. ARVEJAS O GUISANTES (PISUM SATIVUM) ENTERAS, EXC.P/SIEMBRA.","Arvejas (guisantes, chicharos) enteras excepto para siembra",
713109020,Partidas. Partidas. ARVEJAS O GUISANTES (PISUM SATIVUM) PARTIDAS.,"Arvejas (guisantes, chicharos) partidas excepto para siembra",
713201000,GARBANZOS PARA SIEMBRA. Para siembra. Para siembra.,Garbanzos para siembra,
713209000,Los demas. DEMAS GARBANZOS (EXC. PARA SIEMBRA). Los demás.,Garbanzos excepto para siembra,
713311000,Para siembra. Para siembra.,"Frijoles (fréjoles, porotos, alubias, judías) de la especie Vigna mungo (L) Hepper o Vigna
radiata (L) Wilczek para siembra",
713319000,Los demás. Los demas.,"Frijoles (fréjoles, porotos, alubias, judías) de la especie Vigna mungo (L) Hepper o Vigna
radiata (L) Wilczek excepto para siembra",
713329000,Los demas. Los demás.,"Frijoles (fréjoles, porotos, alubias, judías) Adzuki (Phaseolus o Vigna angularis) excepto para siembra",
713331100,Negro.,"Frijoles (fréjoles, porotos, alubias, judías) comunes (Phaseolus vulgaris) negros para siembra",
713331900,Los demás.,"Frijoles (fréjoles, porotos, alubias, judías) comunes (Phaseolus vulgaris) excepto negros para siembra",
713339100,Negro.,"Frijoles (fréjoles, porotos, alubias, judías) comunes (Phaseolus vulgaris) negros excepto para siembra",
713339200,Canario.,"Frijoles (fréjoles, porotos, alubias, judías) comunes (Phaseolus vulgaris) canarios excepto para siembra",
713339900,Los demás.,"Frijoles (fréjoles, porotos, alubias, judías) comunes (Phaseolus vulgaris) excepto negros canarios y excepto para siembra",
713349000,Los demás.,"Frijoles (fréjoles, porotos, alubias, judías) bambara (Vigna subterranea o Voandzeia subterranea) excepto para siembra",
713359000,Los demás.,"Frijoles (fréjoles, porotos, alubias, judías) salvajes o caupí (Vigna unguiculata) excepto para siembra",
713391000,Para siembra. Para siembra.,Otros frijoles para siembra,
713399100,Pallares (Phaseolus lunatus).,Pallares excepto para siembra,
713399200,Castilla (frijol ojo negro) (Vigna unguiculata).,,713399900
713399900,Los demás.,Otros frijoles excepto para siembra,
713401000,LENTEJAS Y LENTEJONES PARA SIEMBRA. Para siembra. Para siembra.,Lentejas para siembra,
713409000,DEMAS LENTEJAS Y LENTEJONES (EXC. PARA SIEMBRA). Las demas. Las demás.,Lentejas excepto para siembra,
713501000,"Para siembra. Para siembra. HABAS, HABA CABALLAR Y HABA MENOR PARA SIEMBRA.","Habas (Vicia faba var. major), haba caballar (Vicia faba var. equina) y haba menor (Vicia faba var. minor) para siembra",
713509000,"DEMAS HABAS, HABA CABALLAR Y HABA MENOR (EXC. SIEMBRA). Las demas. Las demás.","Habas (Vicia faba var. major), haba caballar (Vicia faba var. equina) y haba menor (Vicia faba var. minor) excepto para siembra",
713609000,Las demás.,"Arvejas (guisantes, chícharos) de palo, gandú o gandul (Cajanus cajan) excepto para siembra",
713909000,"Las demas. DEMAS LEGUMBRES SECAS DESVAINADAS, INCL.MONDADAS O PARTIDAS. Las demás.",Otras hortalizas de vaina secas (legumbres) desvainadas excepto para siembra,
714100000,"Raíces de yuca (mandioca). RAICES DE MANDIOCA (YUCA) SECAS O FRESCAS, INCLU.TROCEADOS. Raices de yuca (mandioca).","Raíces de yuca (mandioca) frescos, refrigerados, congelados o
secos, incluso troceados o en pellets",
714201000,Para siembra.,"Camotes (batatas, boniatos) frescos, refrigerados, congelados o secos, incluso troceados o en pellets para siembra",
714209000,Los demás.,"Camotes (batatas, boniatos) frescos, refrigerados, congelados o secos, incluso troceados o en pellets excepto para siembra",
714400000,Taro (Colocasia spp.).,"Taro (Colocasia spp.) frescos, refrigerados, congelados o secos, incluso troceados o en pellets",
714901000,Maca (Lepidium meyenii).,Maca (Lepidium meyenii),
714909000,Los demás.,Otras raíces y tubérculos,
801111000,Para siembra.,Cocos secos para siembra,
801119000,Los demás.,Cocos secos excepto para siembra,
801120000,Con la cáscara interna (endocarpio).,Cocos con cáscara interna (endocarpio),
801190000,Los demas. Los demás.,Cocos excepto secos o con cáscara interna,
801210000,Con cascara. Con cáscara.,Nueces del Brasil con cáscara,
801220000,Sin cascara. Sin cáscara.,Nueces del Brasil sin cáscara,
801310000,Con cáscara. Con cascara.,"Nueces de marañón (merey, cajuil, anacardo, cajú) con cáscara",
801320000,Sin cascara. Sin cáscara.,"Nueces de marañón (merey, cajuil, anacardo, cajú) sin cáscara",
802110000,"Con cascara. ALMENDRAS, FRESCOS O SECOS CON CASCARA. Con cáscara.",Almendras con cáscara,
802121000,Para siembra.,Almendras sin cáscara para siembra,
802129000,Los demás.,Almendras sin cáscara excepto para siembra,
802210000,"Con cáscara. AVELLANAS, FRESCOS O SECOS (CORYLUS SPP.) CON CASCARA. Con cascara.",Avellanas (Corylus spp.) con cáscara,
802220000,"Sin cáscara. Sin cascara. AVELLANA, SECOS O SECOS (CORYLUS SPP.) SIN CASCARA.",Avellanas (Corylus spp.) sin cáscara,
802310000,"Con cascara. NUECES DE NOGAL, SECOS O FRESCOS CON CASCARA. Con cáscara.",Nueces de nogal con cáscara,
802320000,"Sin cascara. NUECES DE NOGAL, FRESCOS O SECOS SIN CASCARA. Sin cáscara.",Nueces de nogal sin cáscara,
802410000,Con cáscara.,Castañas (Castanea spp.) con cáscara,
802420000,Sin cáscara.,Castañas (Castanea spp.) sin cáscara,
802620000,Sin cáscara.,Nueces de macadamia sin cáscara,
802700000,Nueces de cola (Cola spp.).,Nueces de cola (Cola spp.),
802800000,Nueces de areca.,Nueces de areca,
802900000,"DEMAS FRUTOS DE CASCARA,FRESCOS/SECOS, INCL.SIN CASCARA. Los demas. Los demás. Los demás.",,802990000
802990000,Los demás.,Otros frutos de cáscara frescos o secos,
803101000,Frescos.,Plátanos frescos,
803102000,Secos.,Plátanos secos,
803901100,Tipo «cavendish valery».,Bananas Cavendish Valery frescas,
803901200,"Bocadillo (manzanito, orito) (Musa acuminata).","Bananas Bocadillo (manzanito, orito) frescas",
803901900,Los demás.,Otras bananas frescas,
803902000,Secos.,Bananas secas,
804100000,DATILES FRESCOS O SECOS. Datiles. Dátiles.,Dátiles fréscos o secos,
804200000,HIGOS FRESCOS O SECOS. Higos. Higos.,Higos fréscos o secos,
804300000,PI¥AS (ANANAS) FRESCAS O SECAS. Piñas tropicales (ananas). Piñas (ananás).,Piñas (ananás) frescas o secas,
804400000,Aguacates (paltas). AGUACATES (PALTAS) FRESCOS O SECOS. Aguacates (paltas).,Aguacates (paltas) frescos o secos,
804501000,Guayabas. Guayabas.,Guayabas frescos o secos,
804502000,Mangos y mangostanes. Mangos y mangostanes.,Mangos y mangostanes frescos o secos,
805100000,Naranjas. NARANJAS FRESCAS O SECAS. Naranjas.,Naranjas frescas o secas,
805201000,"Mandarinas (incluidas las tangerinas y satsumas). Mandarinas (incluidas las tangerinas y satsumas). MANDARINAS (INCLU. TANGERINAS Y SATSUMAS), FRESCAS O SECAS.",,805210000
805202000,Tangelo (Citrus reticulata x Citrus paradisis).,,805291000
805209000,"CLEMENTINAS,WILKINGS E HIBRIDOS SIMIL.D/AGRIOS FRESCAS/SECAS. Los demas. Los demás. Los demás.",,805299000
805210000,Mandarinas (incluidas las tangerinas y satsumas).,Mandarinas (incluidas las tangerinas y satsumas) frescas o secas,
805220000,Clementinas.,Clementinas frescas o secas,
805291000,Tangelo (Citrus reticulata x Citrus paradisis).,Tangelo (Citrus reticulata x Citrus paradisis) frescos o secos,
805299000,Los demás.,"Otros agrios (cítricos) similares a mandarinas, clementinas o wikings, frescos o secos",
805400000,Toronjas o pomelos. Toronjas o pomelos. POMELOS O TORONJAS FRESCOS O SECOS.,Toronjas o pomelos frescos o secos,
805501000,"Limones (Citrus limon, Citrus limonum).","Limones (Citrus limon, Citrus limonum) frescos o secos",
805502100,"Limón (limón sutil, limón común, limón criollo) (Citrus aurantifolia).","Limón (limón sutil, limón común, limón criollo) (Citrus aurantifolia) frescos o secos",
805502200,Lima Tahití (limón Tahití) (Citrus latifolia).,Lima Tahití (limón Tahití) (Citrus latifolia) frescos o secos,
805900000,Los demás. DEMAS AGRIOS FRESCOS O SECOS. Los demas.,Otros agrios (cítricos) frescos o secos,
806100000,Frescas. Frescas. UVAS.,Uvas frescas,
806200000,"Secas, incluidas las pasas. Secas, incluidas las pasas. PASAS.",Uvas secas (pasas),
807110000,Sandias. Sandías.,Sandías frescas,
807190000,Los demás. Los demas.,Melones frescos,
807200000,PAPAYAS FRESCAS. Papayas. Papayas.,Papayas frescas,
808100000,Manzanas. Manzanas. MANZANAS FRESCAS.,Manzanas frescas,
808300000,Peras.,Peras frescas,
808400000,Membrillos.,Membrillos frescos,
809100000,"DAMASCOS (ALBARICOQUES) FRESCOS. Damascos (albaricoques, chabacanos). Damascos (albaricoques, chabacanos).","Damascos (albaricoques, chabacanos) frescos",
809210000,Guindas (cerezas ácidas) (Prunus cerasus).,Guindas (cerezas ácidas) (Prunus cerasus) frescas,
809290000,Las demás.,Cerezas excepto ácidas frescas,
809300000,"Duraznos (melocotones), incluidos los griñones y nectarinas. DURAZNO O MELOCOTON, INCL.GRI¥ONES Y NECTARINAS(FRESCO). Duraznos (melocotones), incluidos los griñones y nectarinas.","Duraznos (melocotones), incluidos los griñones y nectarinas frescos",
809400000,Ciruelas y endrinas. Ciruelas y endrinas. CIRUELAS Y ENDRINOS FRESCOS.,Ciruelas y endrinas frescas,
810100000,FRESAS (FRUTILLAS) FRESCAS. Fresas (frutillas). Fresas (frutillas).,Fresas (frutillas) frescas,
810200000,"Frambuesas, zarzamoras, moras y moras-frambuesa. FRAMBUESAS,ZARZAMORAS, MORAS Y MORAS-FRAMBUESA FRESCOS. Frambuesas, zarzamoras, moras y moras-frambuesa.","Frambuesas, zarzamoras, moras y moras-frambuesa frescas",
810300000,"Grosellas negras, blancas o rojas y grosellas espinosas. GROSELLAS, INCLUIDO EL CASIS FRESCAS. Grosellas, incluido el casis. Grosellas, incluido el casis.","Grosellas negras, blancas o rojas y grosellas espinosas frescas",
810400000,"Arándanos rojos, mirtilos y demás frutos del género Vaccinium. ARANDANOS O MURTONES Y DEMAS FRUT. DE GENERO VACCINIUM. Arandanos rojos, mirtilos y demas frutos del genero Vaccinium.","Arándanos rojos, mirtilos y demas frutos del genero Vaccinium frescos",
810500000,Kiwis. Kiwis.,Kiwis frescos,
810700000,Caquis (persimonios).,Caquis (persimonios),
810901000,"Granadilla, ""maracuya"" (parchita) y demas frutas de la pasion (Passiflora spp.). Granadilla, «maracuyá» (parchita) y demás frutas de la pasión (Passiflora spp).","Granadilla, maracuya (parchita) y demas frutas de la pasion (Passiflora spp.) frescas",
810902000,"Chirimoya, guanabana y demas anonas (Annona spp.). Chirimoya, guanábana y demás anonas (Annona spp).","Chirimoya, guanábana y demás anonas (Annona spp.) frescas",
810903000,"Tomate de árbol (lima tomate, tamarillo) (Cyphomandra betacea). Tomate de arbol (lima tomate, tamarillo) (Cyphomandra betacea).","Tomate de árbol (lima tomate, tamarillo) (Cyphomandra betacea) frescos",
810904000,Pitahayas (Cereus spp). Pitahayas (Cereus spp.).,Pitahayas (Cereus spp.) frescas,
810905000,"Uchuvas (uvillas) (Physalis peruviana). Uchuvas (uvillas) (Physalis peruviana). Uchuvas (aguaymanto, uvillas) (Physalis peruviana).","Uchuvas (aguaymanto, uvillas) (Physalis peruviana) frescas",
810909000,Los demas. Los demás. Los demás.,Otras frutas o frutos frescos,
811101000,FRESAS (FRUTILLAS) AZUCARADAS O EDULCORADAS. Con adicion de azucar u otro edulcorante. Con adición de azúcar u otro edulcorante.,"Fresas (frutillas) incluso cocidas, azucaradas o edulcoradas, congeladas",
811109000,"Las demas. Las demás. DEMAS FRESAS ( FRUTILLAS ), EXCL. AZUCARADAS O EDULCORADAS.","Fresas (frutillas) incluso cocidas, excepto azucaradas o edulcoradas, congeladas",
811200000,"Frambuesas, zarzamoras, moras, moras-frambuesa y grosellas.","Frambuesas, zarzamoras, moras, moras-frambuesa y grosellas incluso cocidas, congeladas",
811901000,Con adicion de azucar u otro edulcorante. DEMAS FRUTOS SIN COCER O COCIDOS AZUCARAD. O EDULCORADOS. Con adición de azúcar u otro edulcorante.,"Otras frutas y frutos incluso cocidos, azucarados o edulcorados",
811909100,Mango (Mangifera indica L).,"Mango (Mangifera indica L) incluso cocidos, congelados",
811909200,Camu Camu (Myrciaria dubia).,"Camu Camu (Myrciaria dubia) incluso cocidos, congelados",
811909300,Lúcuma (Lúcuma obovata).,"Lúcuma (Lúcuma obovata) includo cocidas, congeladas",
811909400,«Maracuyá» (parchita) (Passiflora edulis).,"Maracuyá (parchita) (Passiflora edulis) incluso cocidas, congeladas",
811909500,Guanábana (Annona muricata).,"Guanábana (Annona muricata) incluso cocidas, congeladas",
811909600,Papaya .,"Papaya incluso cocidas, congeladas",
811909900,Los demás.,"Otros frutas o frutos incluso cocidos, congelados",
812902000,"Duraznos (melocotones), incluidos los griñones y nectarinas. DURAZNOS (MELOCOTONES) CONSERVADOS PROVISIONALMENTE. Duraznos (melocotones), incluidos los griñones y nectarinas.","Duraznos (melocotones), incluidos los griñones y nectarinas conservadas provisionalmente para consumo inmediato",
812909000,DEMAS FRUTOS CONSERVADOS PROVISIONALM.(EJEM.GAS SULFUROSO). Los demas. Los demás.,Otras frutas y frutos conservados provisionalmente para consumo inmediato,
813100000,"DAMASCOS (ALBARICOQUES) SECOS. Damascos (albaricoques, chabacanos). Damascos (albaricoques, chabacanos).","Damascos (albaricoques, chabacanos) secos",
813200000,Ciruelas. CIRUELAS SECAS. Ciruelas.,Ciruelas secas,
813300000,MANZANAS SECAS. Manzanas. Manzanas.,Manzanas secas,
813400000,Las demas frutas u otros frutos. Las demás frutas u otros frutos.,Otros frutas o frutos secos,
813500000,"Mezclas de frutas u otros frutos, secos, o de frutos de cascara de este Capitulo. MEZCLA DE FRUTOS SECOS O FRUTOS D'CASCARA DEL CAPITULO. Mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.",Mezcla de frutas o frutos secos,
814001000,"De limón (limón sutil, limón común, limón criollo) (Citrus aurantifolia).","Corteza de (limón sutil, limón común, limón criollo) (Citrus aurantifolia)",
814009000,Las demás.,Otras cortezas de agrios (cítricos),
